input,relations,prefix,gold_relations
"In 1873 , radio electronics pioneer Dr. Lee DeForest was born in Council Bluffs , Iowa .","[['Dr. Lee DeForest', 'Live_In', 'Council Bluffs']]",CONLL04,"[['Dr. Lee DeForest', 'Live_In', 'Council Bluffs , Iowa']]"
"In southwest Louisiana 's Cameron Parish ( county ) , civil defense director Hayes Picou about 8 , 500 of the low-lying parish 's 10 , 000 residents had evacuated the southern coast , most to stay with friends or relatives.","[['Cameron Parish', 'Located_In', 'Louisiana']]",CONLL04,"[['Cameron Parish', 'Located_In', 'Louisiana'], ['Hayes Picou', 'Live_In', 'Louisiana'], ['Hayes Picou', 'Live_In', 'Cameron Parish']]"
The committee reported in July 1979 that Lee Harvey Oswald had shot Kennedy and that neither the Soviet Union nor Cuba nor any U.S. government agency was involved in the killing. ;,"[['Lee Harvey Oswald', 'Kill', 'President Kennedy']]",CONLL04,"[['Lee Harvey Oswald', 'Kill', 'Kennedy']]"
"Other winners are : _ Actress Helen Hayes , 87 , born in Washington , who first appeared on stage at the age of 5 , made her New York debut in 1909 and has played in works of Shakespeare , Tennessee Williams and Eugene O'Neill during her long career as a stage and movie actress.","[['Helen Hayes', 'Live_In', 'Washington']]",CONLL04,"[['Actress Helen Hayes', 'Live_In', 'Washington']]"
"Bossi set up the Freedom Alliance not because he believed in it , but because he found that it was necessary to do so. ( Minoli ) Do you think that this continual exchange of insults is advantageous to the common cause ? ( Fini ) It is advantageous because whoever listens does not vote for Occhetto ( leader of the Democratic Party of the Left ) .","[['Occhetto', 'Work_For', 'Democratic Party of the Left']]",CONLL04,"[['Bossi', 'Work_For', 'Freedom Alliance'], ['Occhetto', 'Work_For', 'Democratic Party']]"
"The law , patterned after similar measures in Michigan and California , gives victims ` ` a maximum opportunity to participate , ' ' said Fran Sepler , executive of the state Crime Victim and Witness Advisory Council.","[['Fran Sepler', 'Work_For', 'state Crime Victim and Witness Advisory Council']]",CONLL04,"[['Fran Sepler', 'Work_For', 'state Crime Victim and Witness Advisory Council.']]"
"Gary Hess , an Emery employee , saw the plane go down as he was getting off work at the airport .","[['Gary Hess', 'Work_For', 'Emery']]",CONLL04,"[['Gary Hess', 'Work_For', 'Emery']]"
"The six men were found under the rubble in the basement of a nine-story apartment building which had collapsed on them , the official Soviet news agency said in a report from Yerevan , the capital of Armenia .","[['Yerevan', 'Located_In', 'Armenia']]",CONLL04,"[['Yerevan', 'Located_In', 'Armenia']]"
"In 1963 , the year he joined the Herald Tribune , he was riding in the motorcade with President Kennedy when Kennedy was fatally shot by Lee Harvey Oswald in Dallas. ;","[['Lee Harvey Oswald', 'Kill', 'President Kennedy']]",CONLL04,"[['Lee Harvey Oswald', 'Kill', 'Kennedy']]"
"` ` If we 're going to address this problem it will be a grass-roots effort by activists throughout the cities of the world , ' ' said Jeremy Rifkin , director of the Foundation on Economic Trends and a member of the Global Greenhouse Network , a coalition of environmental activists in 35 countries .","[['Jeremy Rifkin', 'Work_For', 'Foundation on Economic Trends'], ['Jeremy Rifkin', 'Work_For', 'Global Greenhouse Network']]",CONLL04,"[['Jeremy Rifkin', 'Work_For', 'Foundation on Economic Trends'], ['Jeremy Rifkin', 'Work_For', 'Global Greenhouse Network']]"
"Jeffrey Bander , vice for development of new products at American Express , said the credit card company conducted two different research projects before launching its weather phone.","[['Jeffrey Bander', 'Work_For', 'American Express']]",CONLL04,"[['Jeffrey Bander', 'Work_For', 'American Express']]"
"In Washington , U.S officials announced that the Navy will rotate two aircraft carrier battle groups well away from Libya as one replaces the other .","[['Washington', 'Located_In', 'U.S']]",CONLL04,"[['Washington', 'Located_In', 'U.S'], ['Navy', 'OrgBased_In', 'U.S']]"
"Tal , a senior Defense Ministry official , has not repeated these views in public .","[['Tal', 'Work_For', 'Defense Ministry']]",CONLL04,"[['Tal', 'Work_For', 'Defense Ministry']]"
"Lennon was shot to death Dec. 8 , 1980 , in the courtyard of his New York City apartment building by Mark David Chapman , a former Beatles ' fan who was convicted of the killing and sentenced to prison for a term of 20 years to life .","[['Mark David Chapman', 'Kill', 'Lennon']]",CONLL04,"[['Mark David Chapman', 'Kill', 'Lennon']]"
"In 1890 , the 34th President of the United States , Dwight D. Eisenhower , was born in Denison , Texas .","[['Dwight D. Eisenhower', 'Live_In', 'Denison']]",CONLL04,"[['Dwight D. Eisenhower', 'Live_In', 'Denison , Texas']]"
"By contrast , nearly 6 million square feet of downtown office space is newly completed , under construction or has received city permits , said Virginia Galle , a City Council member and CAP supporter .","[['Virginia Galle', 'Work_For', 'City Council']]",CONLL04,"[['Virginia Galle', 'Work_For', 'City Council']]"
Harrington taught at Harvard University and the National War College.,"[['Harrington', 'Work_For', 'Harvard University'], ['Harrington', 'Work_For', 'National War College']]",CONLL04,"[['Harrington', 'Work_For', 'Harvard University'], ['Harrington', 'Work_For', 'National War College.']]"
"The federal appeals court threw out the death sentence of John Harvey Adamson , convicted of murdering Phoenix newspaper reporter Don Bolles in 1976 .","[['John Harvey Adamson', 'Kill', 'Don Bolles']]",CONLL04,"[['John Harvey Adamson', 'Kill', 'Don Bolles']]"
"Fred Farrar , another FAA spokesman , said airlines flying the 737-300s are Aloha , America West , American , Continental , Delta , Orion , Piedmont , Southwest , United and U.S. Air .","[['Fred Farrar', 'Work_For', 'FAA']]",CONLL04,"[['Fred Farrar', 'Work_For', 'FAA']]"
"The trud newspaper features the last part of the memoirs by former commander of the Soviet Navy Nikolai Kuznetsov who personally knew Stalin , under the headline "" Stalin 's Death . ""","[['Nikolai Kuznetsov', 'Work_For', 'Soviet Navy']]",CONLL04,"[['Navy', 'OrgBased_In', 'Soviet'], ['Nikolai Kuznetsov', 'Live_In', 'Soviet'], ['Nikolai Kuznetsov', 'Work_For', 'Navy'], ['Stalin', 'Live_In', 'Soviet'], ['Stalin', 'Live_In', 'Soviet']]"
National Congress President Vinicio Villar Anleu commented on the implications of the case : ( Begin recording ) ( Villar Anleu ) It seems to us -- and we uphold Congress ' institutional policy -- that the nation 's laws must be respected and that the Constitution must be respected .,"[['Vinicio Villar Anleu', 'Work_For', 'National Congress']]",CONLL04,"[['Vinicio Villar Anleu', 'Work_For', 'National Congress']]"
A chart used to decipher the code was found among Booth 's effects after he was shot by Union soldiers 11 days after the assassination of Lincoln .,"[['Booth', 'Kill', 'Lincoln']]",CONLL04,"[['Booth', 'Kill', 'Lincoln']]"
"( Text ) Taipei , Jan. 20 ( CNA ) -- Foreign Chien Fu will leave for the United States on January 29 to give two speeches in the Boston area .","[['Chien Fu', 'Live_In', 'Taipei']]",CONLL04,"[['Chien Fu', 'Live_In', 'Taipei']]"
"` ` ` Ryan 's Hope ' has not been rejected by the audience , it has simply been unavailable to viewers , ' ' Jo Ann Emmerich , vice president of daytime programs for ABC Entertainment , said at the time .","[['Jo Ann Emmerich', 'Work_For', 'ABC Entertainment']]",CONLL04,"[['Jo Ann Emmerich', 'Work_For', 'ABC Entertainment']]"
"On this date : In 1843 , the 25th President of the United States , William McKinley , was born in Niles , Ohio .","[['William McKinley', 'Live_In', 'Niles'], ['William McKinley', 'Live_In', 'Ohio']]",CONLL04,"[['William McKinley', 'Live_In', 'Niles , Ohio']]"
"In 1874 , Herbert Clark Hoover , the 31st president of the United States , was born in West Branch , Iowa .","[['Herbert Clark Hoover', 'Live_In', 'West Branch']]",CONLL04,"[['Herbert Clark Hoover', 'Live_In', 'West Branch , Iowa']]"
"Many had hoped their loyality would convince the banks , primarily the Frankfurt-based Commerzbank and Giessen 's Bezirksparkasse bank , to continue to help Minox , but the hope backfired on those who were layed off , he said .","[['Bezirksparkasse', 'OrgBased_In', 'Giessen']]",CONLL04,"[['Bezirksparkasse bank', 'OrgBased_In', 'Giessen']]"
"An abstract theory explaining the structure of minimal surface in Riemann 's multi-dimensional space has been developed by Wang Guangyan , with the assistance of his PhD student , at the Institute of Mathematics .","[['Wang Guangyan', 'Work_For', 'Institute of Mathematics']]",CONLL04,"[['Wang Guangyan', 'Work_For', 'Institute of Mathematics']]"
"Owen Le Vallee , president of the Liberation Day Committee , said his mother found a starving German in the outhouse during the year after D-Day , the 1944 Allied invasion of Europe.","[['Owen Le Vallee', 'Work_For', 'Liberation Day Committee']]",CONLL04,"[['Owen Le Vallee', 'Work_For', 'Liberation Day Committee']]"
"Another beacon of the better life is Prateep Ungsongtham , known as the ` ` Slum Angel of Bangkok. ' '","[['Prateep Ungsongtham', 'Live_In', 'Bangkok']]",CONLL04,"[['Prateep Ungsongtham', 'Live_In', 'Bangkok.']]"
"Michael Henley Jr. , 10 , disappeared on a turkey hunt with his father in April 1988 in the mountains near their hometown of Grants , N.M. Ms. Calico , then 19 , disappeared five months later while bicycling on a country road near her hometown of Belen , N.M.","[['Michael Henley Jr.', 'Live_In', 'Grants'], ['Michael Henley Jr.', 'Live_In', 'N.M.'], ['Ms. Calico', 'Live_In', 'N.M.'], ['Ms. Calico', 'Live_In', 'Belen'], ['Ms. Calico', 'Live_In', 'N.M.']]",CONLL04,"[['Michael Henley Jr.', 'Live_In', 'Grants'], ['Michael Henley Jr.', 'Live_In', 'N.M.'], ['Grants', 'Located_In', 'N.M.'], ['Ms. Calico', 'Live_In', 'N.M.'], ['Ms. Calico', 'Live_In', 'Belen'], ['Ms. Calico', 'Live_In', 'N.M.'], ['Belen', 'Located_In', 'N.M.']]"
"Police arrested 10 Spanish Basque militants , including Jose Antonio Urutigoechea , considered by Madrid to be a top leader of the Spanish Basque separatist organization ETA , authorities said today .","[['Jose Antonio Urutigoechea', 'Work_For', 'ETA']]",CONLL04,"[['Jose Antonio Urutigoechea', 'Work_For', 'ETA']]"
"The Warren Commission concluded that Oswald , acting alone , fired the shots that killed Kennedy and wounded John Connally , then the Texas governor .","[['Oswald', 'Kill', 'President Kennedy']]",CONLL04,"[['Oswald', 'Kill', 'Kennedy']]"
"The advisory committee voted 7-1 to recommend that the drug remain a prescription ingredient , said Susan Cruzan , an FDA spokeswoman.","[['Susan Cruzan', 'Work_For', 'FDA']]",CONLL04,"[['Susan Cruzan', 'Work_For', 'FDA']]"
"` ` It 's been a nightmare , ' ' said Shelley Yeager , director of the Clara Barton camp at Oxford in central Massachusetts.","[['Oxford', 'Located_In', 'Massachusetts']]",CONLL04,"[['Oxford', 'Located_In', 'Massachusetts.']]"
"` ` We are constantly getting confirmation that the U.S. economy is no longer in a boom phase , and that interest rates are falling , ' ' said a dealer at a U.S. bank in Frankfurt , West Germany.","[['Frankfurt', 'Located_In', 'West Germany']]",CONLL04,"[['Frankfurt', 'Located_In', 'West Germany.']]"
"In 1969 , Sirhan Sirhan was convicted of assassinating U.S. Sen. Robert F. Kennedy .","[['Sirhan Sirhan', 'Kill', 'Robert F. Kennedy']]",CONLL04,"[['Sirhan Sirhan', 'Kill', 'U.S. Sen. Robert F. Kennedy']]"
"Jesse Jackson easily won the Democratic precinct caucuses Saturday in his native South Carolina , while Sen. Bob Dole went on Illinois television for a half-hour plea for Republican votes in a state where he said he is the underdog .","[['Jesse Jackson', 'Live_In', 'South Carolina']]",CONLL04,"[['Jesse Jackson', 'Live_In', 'South Carolina']]"
"Temperatures around the nation at 2 a.m. EST ranged from 2 degrees at Jackson , Wyo. , and Gunnison , Colo. , to 89 degrees at McAllen , Texas .","[['Jackson', 'Located_In', 'Wyo.'], ['Gunnison', 'Located_In', 'Colo.'], ['McAllen', 'Located_In', 'Texas']]",CONLL04,"[['Jackson', 'Located_In', 'Wyo.'], ['Gunnison', 'Located_In', 'Colo.'], ['McAllen', 'Located_In', 'Texas']]"
"` ` We certainly believe it 's a prudent measure to go out and check to make sure there 's nothing wrong with the fleet , ' ' Boeing Commercial Airplanes spokesman Craig Martin said Wednesday in Seattle .","[['Craig Martin', 'Work_For', 'Boeing Commercial Airplanes']]",CONLL04,"[['Craig Martin', 'Work_For', 'Boeing Commercial Airplanes']]"
Tokyo MAINICHI SHIMBUN,"[['Tokyo MAINICHI SHIMBUN', 'OrgBased_In', 'Tokyo']]",CONLL04,"[['MAINICHI SHIMBUN', 'OrgBased_In', 'Tokyo']]"
"If the elections had been held during the last 10 days of May , that is , after the debate , Fernandez de Cevallos would reportedly be the next president of Mexico with 33.2 percent of the vote .","[['Fernandez de Cevallos', 'Live_In', 'Mexico']]",CONLL04,"[['Fernandez de Cevallos', 'Live_In', 'Mexico']]"
"Meanwhile , the historical society in Beaumont , Texas , Richardson 's hometown , plans to raise two statues on Feb. 3 _ one of Buddy Holly , Richardson and Valens , and a second of the Big Bopper alone .","[['Richardson', 'Live_In', 'Beaumont']]",CONLL04,"[['Richardson', 'Live_In', 'Beaumont , Texas']]"
"At a briefing at NRC headquarters in nearby Rockville , Md. , Bernero said the volcanic cones in the area of Yucca Mountain have been a cause of concern for NRC experts.","[['NRC', 'OrgBased_In', 'Rockville'], ['Rockville', 'Located_In', 'Md.'], ['NRC', 'OrgBased_In', 'Rockville']]",CONLL04,"[['NRC', 'OrgBased_In', 'Rockville'], ['NRC', 'OrgBased_In', 'Md.'], ['Rockville', 'Located_In', 'Md.'], ['Bernero', 'Work_For', 'NRC'], ['NRC', 'OrgBased_In', 'Rockville'], ['NRC', 'OrgBased_In', 'Md.']]"
"( Text ) Saint-Gall , Switzerland , Feb 2 ( AFP ) -- The wreck of a twin-engine aircraft has been found 160 metres below the surface of Lake Constance , Swiss police said Tuesday ( 1 February ) .","[['Saint-Gall', 'Located_In', 'Switzerland']]",CONLL04,"[['Saint-Gall', 'Located_In', 'Switzerland'], ['AFP', 'OrgBased_In', 'Saint-Gall'], ['AFP', 'OrgBased_In', 'Switzerland']]"
"According to the communique , clashes are continuing mainly in the Rancho Nuevo area at the military base in the southern Chiapas State .","[['Rancho Nuevo', 'Located_In', 'Chiapas State']]",CONLL04,"[['Rancho Nuevo', 'Located_In', 'Chiapas State']]"
"In 1801 , Mormon leader Brigham Young was born in Whitingham , Vt .","[['Brigham Young', 'Live_In', 'Whitingham']]",CONLL04,"[['Brigham Young', 'Live_In', 'Whitingham , Vt']]"
"The Warren Commission concluded that Lee Harvey Oswald , acting alone , fired the shots that killed Kennedy and wounded John Connally , then the Texas governor , on Nov. 22 , 1963 in Dallas .","[['Lee Harvey Oswald', 'Kill', 'President Kennedy']]",CONLL04,"[['Lee Harvey Oswald', 'Kill', 'Kennedy']]"
"The spilled fuel covered an area two miles long and nearly a half-mile wide , said Whitefish City Attorney Tom Muri.","[['Tom Muri', 'Live_In', 'Whitefish']]",CONLL04,"[['Tom Muri.', 'Live_In', 'Whitefish City']]"
"In California 's Sierra Nevada foothills , firefighters today declared they had contained a fire that blackened 11 , 700 acres of brush and grassland and destroyed seven homes.","[['Sierra Nevada', 'Located_In', 'California']]",CONLL04,"[['Sierra Nevada', 'Located_In', 'California']]"
""" I was hearing the same story , "" says James Hackett , an executive with Titan Systems and one of the leading missile experts in the U.S .","[['James Hackett', 'Work_For', 'Titan Systems']]",CONLL04,"[['James Hackett', 'Work_For', 'Titan Systems'], ['James Hackett', 'Live_In', 'U.S .']]"
"The quake leveled much of Leninakan , Armenia 's second-largest city 10 miles east of the Turkish border and left thousands homeless .","[['Leninakan', 'Located_In', 'Armenia']]",CONLL04,"[['Leninakan', 'Located_In', 'Armenia']]"
Pittsburgh-Corning Corp. of Pittsburgh ;,"[['Pittsburgh-Corning Corp.', 'OrgBased_In', 'Pittsburgh']]",CONLL04,"[['Pittsburgh-Corning Corp.', 'OrgBased_In', 'Pittsburgh']]"
"Barrett is a member of the Illinois Commerce Commission , and Marshall is a lawyer and former legislative aide to Patrick.","[['Barrett', 'Work_For', 'Illinois Commerce Commission']]",CONLL04,"[['Barrett', 'Work_For', 'Illinois Commerce Commission']]"
"During my recent tour , I met with Sultan Qabus Bin-Sa 'id of Oman .","[[""Sultan Qabus Bin-Sa 'id"", 'Live_In', 'Oman']]",CONLL04,"[[""Sultan Qabus Bin-Sa 'id"", 'Live_In', 'Oman']]"
"Ten years ago : James Earl Ray , convicted of assassinating Dr. Martin Luther King Jr. in 1968 , repeated his assertion at a Capitol Hill hearing that he did not commit the crime , saying he 'd been set up to take the blame by a mysterious man called Raoul .","[['James Earl Ray', 'Kill', 'Dr. Martin Luther King Jr.']]",CONLL04,"[['James Earl Ray', 'Kill', 'Dr. Martin Luther King Jr.']]"
"Widespread street flooding was reported throughout Brazoria , Fort Bend , Galveston and southern Harris Counties in southeast Texas.","[['Brazoria', 'Located_In', 'Texas'], ['Fort Bend', 'Located_In', 'Texas'], ['Galveston', 'Located_In', 'Texas'], ['Harris', 'Located_In', 'Texas']]",CONLL04,"[['Brazoria', 'Located_In', 'Texas.'], ['Fort Bend', 'Located_In', 'Texas.'], ['Galveston', 'Located_In', 'Texas.'], ['Harris Counties', 'Located_In', 'Texas.']]"
"It is one of many deep below the arid surface , fed by underground channels that carry rainwater from the Najd plateau in northern Saudi Arabia to the west.","[['Najd plateau', 'Located_In', 'Saudi Arabia']]",CONLL04,"[['Najd plateau', 'Located_In', 'Saudi Arabia']]"
