text,gold_labels,generated
"Yisrael Tal , one of the top military strategists in Israel , says the Arabs have reached a strategic balance with Israel through their acquisition of ground-to-ground missiles .","[['Yisrael Tal', 'Live_In', 'Israel'], ['Yisrael Tal', 'Live_In', 'Israel']]","[['Yisrael Tal', 'Live_In', 'Israel']]"
"Some people in the United States are saying that Clinton "" gave away "" $12 billion to Russia -- this is the amount it is proposed to pay for uranium destined for U.S. nuclear electric power stations , which will be obtained from our nuclear warheads .","[['Clinton', 'Live_In', 'United States'], ['Clinton', 'Live_In', 'U.S.']]","[['Clinton', 'Work_For', 'United States']]"
"Guy M. Struve , the New York attorney representing Church 's , said he was disappointed and did not know when the chain would decide whether to appeal Thursday 's ruling .","[['Guy M. Struve', 'Live_In', 'New York'], ['Guy M. Struve', 'Work_For', ""Church 's""]]","[['Guy M. Struve', 'Work_For', 'Church's']]"
"A golden future seemed assured when , at 25 , Ogdon shared top place with Soviet pianist Vladimir Ashkenazy in the piano section of the 1962 Moscow Tchaikovsky International Competition for young musicians.","[['Vladimir Ashkenazy', 'Live_In', 'Soviet']]","[['Ogdon', 'Live_In', 'Moscow']]"
Illinois born Charlton Heston was a 27-year-old actor from Broadway and television when he arrived in Hollywood for a five-picture contract with Hal Wallis .,"[['Charlton Heston', 'Live_In', 'Illinois']]","[['Charlton Heston', 'Live_In', 'Illinois']]"
"The justices heard 60 minutes of arguments Wednesday on whether they will allow the execution of Johnny Paul Penry , 32 , a convicted rapist-murderer sentenced to die in Texas .","[['Johnny Paul Penry', 'Live_In', 'Texas']]","[['Johnny Paul Penry', 'Live_In', 'Tennessee']]"
"1911 , playwright Tennessee Williams was born in Columbus , Miss.","[['Tennessee Williams', 'Live_In', 'Columbus , Miss.']]","[['Tennessee Williams', 'Live_In', 'Columbus, Miss.']]"
"BRISBANE , Australia ( AP )","[['BRISBANE', 'Located_In', 'Australia'], ['AP', 'OrgBased_In', 'BRISBANE'], ['AP', 'OrgBased_In', 'Australia']]","[['AP', 'Located_In', 'BRISBANE']]"
CNEN Radioprotection Director Laercio Vinhas yesterday reported by fax that the thyroid dysfunctions detected in the employees have no relation whatsoever with their work at the laboratory and that this problem is detected in 3 percent of the overall population .,"[['Laercio Vinhas', 'Work_For', 'CNEN']]","[['Laercio Vinhas', 'Work_For', 'CNEN Radioprotection']]"
"Photographer , author , filmmaker and composer Gordon Parks , 76 , born in Fort Scott , Kan. , who was on the photographic staff of Life Magazine for 19 years before branching out into other activities.","[['Gordon Parks', 'Live_In', 'Fort Scott , Kan.']]","[['Gordon Parks', 'Work_For', 'Life Magazine']]"
"In 1830 , poet Emily Dickinson was born in Amherst , Mass.","[['Emily Dickinson', 'Live_In', 'Amherst , Mass.']]","[['Emily Dickinson', 'Live_In', 'Amherst, Mass.']]"
"` ` This is not a good idea for a lot of environmental reasons , ' ' Stephanie Powell , of the DEM 's division of groundwater and freshwater wetlands , said Tuesday.","[['Stephanie Powell', 'Work_For', 'DEM']]","[['Stephania Powell', 'Work_For', 'Dem']]"
"Nihat ( Marka ) , deputy leader of SHP ( Social Democrat Populist Party ) parliamentary group , said : They should have run in the elections for the sake of democracy .","[['Nihat', 'Work_For', 'SHP'], ['Nihat', 'Work_For', 'Social Democrat Populist Party'], ['Marka', 'Work_For', 'SHP'], ['Marka', 'Work_For', 'Social Democrat Populist Party']]","[['Nihat', 'Work_For', 'Social Democrat Populist Party']]"
A statement from military headquarters said the aircraft crashed during a 260-mile flight to Khartoum from Kassala in eastern Sudan near the Ethiopian border.,"[['Kassala', 'Located_In', 'Sudan']]","[['Kassala', 'Located_In', 'Ethiopia']]"
"Harrington , a professor of political science at Queens College of the City University of New York and honorary president of the Socialist International , died Monday night at his home in suburban Larchmont , the university said in a statement Tuesday.","[['Harrington', 'Work_For', 'Queens College'], ['Harrington', 'Work_For', 'City University of New York'], ['Harrington', 'Work_For', 'Socialist International'], ['Harrington', 'Live_In', 'Larchmont']]","[['Harrington', 'Live_In', 'Larchmont'], ['Harrington', 'Work_For', 'Queens College of the City University of New York']]"
"Norton Winfred Simon was born on Feb. 5 , 1907 , in Portland , Ore. , and spent his teen-age years in San Francisco .","[['Norton Winfred Simon', 'Live_In', 'Portland , Ore.']]","[['Norton Winfred Simon', 'Live_In', 'Portland, Ore.']]"
"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .","[['Ulf D. Merbold', 'Work_For', 'European Space Agency'], ['Roger K. Crouch', 'Work_For', 'National Aeronautics and Space Administration'], ['Roger K. Crouch', 'Work_For', 'NASA']]","[['Ulf D. Merbold', 'Work_For', 'European Space Agency']]"
"Prime Minister Felipe Gonzalez of Spain told reporters , ` ` The police actions and the arrests are of great importance to Spanish society on such a major matter as the battle against terrorism. ' '","[['Felipe Gonzalez', 'Live_In', 'Spain']]","[['Federal', 'Federation', 'Spain']]"
"In 1752 , flagmaker Betsy Ross was born in Philadelphia .","[['Betsy Ross', 'Live_In', 'Philadelphia']]","[['Betsy Ross', 'Live_In', 'Philadelphia']]"
"This Latin American group 's reaction came two days after the military leaders of Haiti made Emile Jonassaint provisional president of Haiti , following the Haitian Parliament 's declaration that the post was vacant .","[['Emile Jonassaint', 'Live_In', 'Haiti'], ['Emile Jonassaint', 'Live_In', 'Haiti'], ['Haitian Parliament', 'OrgBased_In', 'Haiti'], ['Haitian Parliament', 'OrgBased_In', 'Haiti']]","[['Emle Jonassaint', 'Live_In', 'Haiti']]"
"No. 1 is the West Coast 's tallest building , the 76-story black-glass Columbia Seafirst Center built in 1985 , before downtown zoning went into effect .","[['Columbia Seafirst Center', 'Located_In', 'West Coast']]","[['No. 1', 'Located_In', 'West Coast']]"
"Yahia Bouguettaya , the former mayor of Mohammadia , south-east Algeria , and Mohamed Touali , an activist in Algeria 's Ettahadi ( Challenge ) political party , were assassinated Wednesday .","[['Mohammadia', 'Located_In', 'Algeria'], ['Mohamed Touali', 'Work_For', 'Ettahadi ( Challenge ) political party'], ['Ettahadi ( Challenge ) political party', 'OrgBased_In', 'Algeria'], ['Ettahadi ( Challenge ) political party', 'OrgBased_In', 'Algeria']]","[['Yahia Bouguettaya', 'Live_In', 'Algeria'], ['Mohammadia', 'Located_In', 'Algeria'], ['Mohammadia', 'Located_In', 'Algeria'], ['Mohammadia', 'Located_In', 'Algeria']]"
He developed evidence regarding the assassination of President Kennedy which supported the findings of the Warren Commission that Lee Harvey Oswald was the lone assassin .,"[['Lee Harvey Oswald', 'Kill', 'President Kennedy']]","[['Leeda Harvey Oswald', 'Work_For', 'Franklin Commission']]"
"Montana : A fire burning in grassland and scattered timber in the Custer National Forest became the state 's biggest fire of the summer Tuesday when it surpassed 1 , 200 acres.","[['Custer National Forest', 'Located_In', 'Montana']]","[['Custer National Forest', 'Live_In', 'Mo.']]"
"JOHANNESBURG , South Africa ( AP )","[['JOHANNESBURG', 'Located_In', 'South Africa']]","[['AP', 'Live_In', 'JOHANNESBURG, South Africa']]"
"The PRAVDA newspaper carries an interview with Radovan Karadzic , leader of Bosnian Serbs and vice-president of the Union of Serb Writers .","[['Radovan Karadzic', 'Work_For', 'Union of Serb Writers']]","[['Radovan Karadzic', 'Work_For', 'Union of Serbian Writers']]"
"( Text ) The National Central Organization of Panamanian Workers ( CNTP ) , which comprises three workers ' federations and 16 unions for a total of 12 , 000 workers , has proclaimed its determination to support Dr. Ernesto Perez Balladares for the presidency of the Republic .","[['The National Central Organization of Panamanian Workers', 'OrgBased_In', 'the Republic'], ['CNTP', 'OrgBased_In', 'the Republic'], ['Ernesto Perez Balladares', 'Live_In', 'the Republic']]","[['National Central Organization of Panamanian Workers', 'Work_For', 'OrgBased_In']]"
"MOSKOVSKIY KOMSOMOLETS has learned from competent sources that the commission is supposed to pay special attention to Lazutkin , former first deputy general director of "" Ostankino , "" who currently holds the position of first deputy head of the Russian Federation Federal Service for Television and Radio Broadcasting.","[['Lazutkin', 'Work_For', 'Russian Federation Federal Service for Television and Radio Broadcasting.']]",[['MOSTHOW_TO_HELP_LAZUTKIN_(FOLLOWED_BY OTHER_NUMBER)]]
"But trustee Daniel L. Bakst , a West Palm Beach , Fla. , lawyer , said he will not let the 11th-hour settlement efforts interfere with his assignment to track down Warner 's assets for distribution to creditors.","[['Daniel L. Bakst', 'Live_In', 'West Palm Beach'], ['Daniel L. Bakst', 'Live_In', 'Fla.'], ['West Palm Beach', 'Located_In', 'Fla.']]","[['Daniel L. Bakst', 'Live_In', 'West Palm Beach'], ['Daniel L. Bakst', 'Work_For', 'West Palm Beach']]"
Serbia is the largest of Yugoslavia 's six republics.,"[['Serbia', 'Located_In', 'Yugoslavia']]","[['Serbia', 'Located_In', 'Yugoslavia']]"
Sirhan was convicted of Kennedy 's killing and is serving a life sentence .,"[['Sirhan', 'Kill', 'Kennedy']]",1. Kill 2. Sirhan killed Kennedy 3. Located In 4. Live_In 5.
"A mechanized infantry battalion belonging to the 21st Brigade of Cerro Muriano in Cordoba and to the 12th Brigade in Botoa in Badajoz , a company of the Special Operations Group in Alicante , and a squadron from the Jarama 1st Cavalry Brigade from Salamanca make up the Cordoba Group .","[['21st Brigade of Cerro Muriano', 'OrgBased_In', 'Cordoba'], ['12th Brigade', 'OrgBased_In', 'Botoa'], ['12th Brigade', 'OrgBased_In', 'Badajoz'], ['Special Operations Group', 'OrgBased_In', 'Alicante'], ['Jarama 1st Cavalry Brigade', 'OrgBased_In', 'Salamanca']]","[['Cerro Muriano', 'Work_For', 'Selective Operations Group'], ['Cerro Muriano', 'Live_In', 'Botoa'], ['Secretary of Defense', 'Live_In', 'Alicante']]"
"Those honored were Jean Griffith , mother of a man killed on a Howard Beach , Queens , parkway after being chased by a gang of whites in December 1986 ;","[['Howard Beach', 'Located_In', 'Queens']]","[['Jean Griffith', 'Live_In', 'Queens']]"
"FBI agents arrived at Sohn 's New Jersey home and escorted him to safety only 30 minutes before KCIA agents showed up , an unidentified senior law enforcement official told the Times .","[['Sohn', 'Live_In', 'New Jersey']]","[['Sohn', 'Live_In', 'New Jersey']]"
"Prime Brian Mulroney 's Progressive Conservative Party won its second consecutive majority government in the election , and he signed the trade pact with President Reagan in January 1988 .","[['Brian Mulroney', 'Work_For', 'Progressive Conservative Party']]","[['Bird Mulroney', 'Work_For', 'Peter-Peter-St.-Paul']]"
Treiki disclosed the planned missile tests during Security Council debate Tuesday night after the U.S. 6th Fleet informed Libyan air traffic controllers so they could divert civilian air traffic .,"[['6th Fleet', 'OrgBased_In', 'U.S.']]","[['Treiki', 'Work_For', 'U.S. 6th Fleet']]"
"BANGKOK , Thailand ( AP )","[['BANGKOK', 'Located_In', 'Thailand'], ['AP', 'OrgBased_In', 'BANGKOK'], ['AP', 'OrgBased_In', 'Thailand']]","[['Bangkok', 'Located_In', 'Taiwan']]"
"In Washington , the General Accounting Office ( GAO ) , the congressional watchdog of government spending , says in a report released last August that Israel might be underestimating the costs of producing and deploying the Arrow system .","[['General Accounting Office', 'OrgBased_In', 'Washington'], ['GAO', 'OrgBased_In', 'Washington']]","[['General Accounting Office', 'Located_In', 'Washington']]"
"Britain 's Duchess of York and former Philippines first lady Imelda Marcos topped the list by Blackwell , a designer and self-appointed fashion arbiter whose real name is Richard Sylvan Selzer .","[['Duchess of York', 'Live_In', 'Britain'], ['Imelda Marcos', 'Live_In', 'Philippines']]","[['Blackwell', 'Work_For', 'Blackwell']]"
"Today 's highlight in history : On the Ides of March , 44 B.C. , Roman Emperor Julius Caesar was assassinated by a group of nobles that included Brutus and Cassius .","[['Brutus', 'Kill', 'Roman Emperor Julius Caesar'], ['Cassius', 'Kill', 'Roman Emperor Julius Caesar']]","[['Brutus', 'Live_In', 'Casius']] Entity A was killed by a group of nobles, therefore it can be concluded that Entity A Lives In Caesar."
"Until President 's Day of this year , the public could not enter the sixth floor of the old school book depository in downtown Dallas , where it 's believed Lee Harvey Oswald fired the shots that killed Kennedy .","[['Lee Harvey Oswald', 'Kill', 'Kennedy']]","[['Lee Harvey Oswald', 'Live_In', 'Dallas']]"
"An electrical train has arrived at Novonezhino to evacuate local inhabitants , and a special group from the Russian Defence Ministry has left Moscow by plane en route to Vladivostok and the site of the explosion .","[['Russian Defence Ministry', 'OrgBased_In', 'Moscow']]","[['Novonezhino', 'Located_In', 'Moscow']]"
"Deputy U.S. Ambassador Herbert S. Okun announced the cancellation just before the council began debate , and officials in Washington confirmed it .","[['Herbert S. Okun', 'Live_In', 'U.S.']]","[['Herbert S. Okun', 'Work_For', 'United States'], ['Herbert S. Okun', 'Work_For', 'United States']]"
Moscow March 5 ( ITAR-TASS ) -- Moscow leading newspapers concentrate on the speeches by President Boris Yeltsin and Premier Viktor Chernomyrdin at the government 's enlarged meeting on Friday .,"[['ITAR-TASS', 'OrgBased_In', 'Moscow'], ['ITAR-TASS', 'OrgBased_In', 'Moscow'], ['Boris Yeltsin', 'Live_In', 'Moscow'], ['Boris Yeltsin', 'Live_In', 'Moscow'], ['Viktor Chernomyrdin', 'Live_In', 'Moscow'], ['Viktor Chernomyrdin', 'Live_In', 'Moscow']]","[['Moscove', 'OrgBased_In', 'Moscove']]"
"Winter , 53 , a former Yale University law professor who took the bench in 1982 , and Starr , a fellow appointee of President Reagan , are both known as judicial conservatives .","[['Winter', 'Work_For', 'Yale University']]","[['Starr', 'Work_For', 'Yale University']]"
"In 1873 , radio electronics pioneer Dr. Lee DeForest was born in Council Bluffs , Iowa .","[['Dr. Lee DeForest', 'Live_In', 'Council Bluffs , Iowa']]","[['Dr. Lee DeForest', 'Live_In', 'Chair Bluffs, Iowa']]]"
"In southwest Louisiana 's Cameron Parish ( county ) , civil defense director Hayes Picou about 8 , 500 of the low-lying parish 's 10 , 000 residents had evacuated the southern coast , most to stay with friends or relatives.","[['Cameron Parish', 'Located_In', 'Louisiana'], ['Hayes Picou', 'Live_In', 'Louisiana'], ['Hayes Picou', 'Live_In', 'Cameron Parish']]","[['Hayes Picou', 'Work_For', 'Cameron Parish']]"
"The Internal Revenue Service and Manufacturers Hanover Trust Co. of New York , two of the largest creditors in the Herbert Hunt bankruptcy , said they will file a repayment plan by Friday.","[['Manufacturers Hanover Trust Co.', 'OrgBased_In', 'New York']]","[['Internal Revenue Service', 'Henry Hunt']]"
The committee reported in July 1979 that Lee Harvey Oswald had shot Kennedy and that neither the Soviet Union nor Cuba nor any U.S. government agency was involved in the killing. ;,"[['Lee Harvey Oswald', 'Kill', 'Kennedy']]","[['Lee Harvey Oswald', 'Kill', 'Kill']]"
Announces Offer to End Strike PA0302025694 Panama City ACAN in Spanish 2153 GMT 2 Feb 94,"[['ACAN', 'OrgBased_In', 'Panama City']]","[['Anthony', 'Acan', 'OrgBased_In', 'Panamaca City']]"
"Other winners are : _ Actress Helen Hayes , 87 , born in Washington , who first appeared on stage at the age of 5 , made her New York debut in 1909 and has played in works of Shakespeare , Tennessee Williams and Eugene O'Neill during her long career as a stage and movie actress.","[['Actress Helen Hayes', 'Live_In', 'Washington']]","[['Helen Hayes', 'Live_In', 'Washington']]"
"Bossi set up the Freedom Alliance not because he believed in it , but because he found that it was necessary to do so. ( Minoli ) Do you think that this continual exchange of insults is advantageous to the common cause ? ( Fini ) It is advantageous because whoever listens does not vote for Occhetto ( leader of the Democratic Party of the Left ) .","[['Bossi', 'Work_For', 'Freedom Alliance'], ['Occhetto', 'Work_For', 'Democratic Party']]","[['Bossi', 'Work_For', 'Democratic Party of the Left']]"
"The law , patterned after similar measures in Michigan and California , gives victims ` ` a maximum opportunity to participate , ' ' said Fran Sepler , executive of the state Crime Victim and Witness Advisory Council.","[['Fran Sepler', 'Work_For', 'state Crime Victim and Witness Advisory Council.']]","[['Fran Sepler', 'Work_For', 'Crime Victim and Witness Advisory Council']]"
"Gary Hess , an Emery employee , saw the plane go down as he was getting off work at the airport .","[['Gary Hess', 'Work_For', 'Emery']]","[['Gary Hess', 'Work_For', 'Emery']]"
"The six men were found under the rubble in the basement of a nine-story apartment building which had collapsed on them , the official Soviet news agency said in a report from Yerevan , the capital of Armenia .","[['Yerevan', 'Located_In', 'Armenia']]","[['Yrevan', 'Olympic', 'Estonia', 'OrgBased_In', 'Soviets']]"
"In 1963 , the year he joined the Herald Tribune , he was riding in the motorcade with President Kennedy when Kennedy was fatally shot by Lee Harvey Oswald in Dallas. ;","[['Lee Harvey Oswald', 'Kill', 'Kennedy']]","[['Herbert Tribune', 'Live_In', 'Dallas']]"
"` ` If we 're going to address this problem it will be a grass-roots effort by activists throughout the cities of the world , ' ' said Jeremy Rifkin , director of the Foundation on Economic Trends and a member of the Global Greenhouse Network , a coalition of environmental activists in 35 countries .","[['Jeremy Rifkin', 'Work_For', 'Foundation on Economic Trends'], ['Jeremy Rifkin', 'Work_For', 'Global Greenhouse Network']]","[['Jeremy Rifkin', 'Work_For', 'Global Greenhouse Network']]"
"When he was called to examine Robert F. Kennedy 's assassin , Sirhan Sirhan , a Jordanian residing in the United States , Markman refused .","[['Sirhan Sirhan', 'Kill', 'Robert F. Kennedy']]","[['Sirhan Sirhan', 'Live_In', 'United States']]"
Tokyo NIHON KEIZAI SHIMBUN,"[['NIHON KEIZAI SHIMBUN', 'OrgBased_In', 'Tokyo']]","[['Nihon KEIZAI SHIMBUN', 'Located_In', 'Tokyo']]"
"Jeffrey Bander , vice for development of new products at American Express , said the credit card company conducted two different research projects before launching its weather phone.","[['Jeffrey Bander', 'Work_For', 'American Express']]","[['Jeffrey Bander', 'Work_For', 'American Express']]"
"In 1968 , authorities announced the capture in London of James Earl Ray , suspected of the assassination of civil rights leader Dr. Martin Luther King Jr .","[['James Earl Ray', 'Kill', 'Dr. Martin Luther King Jr']]","[['James Earl Ray', 'Live_In', 'London']]"
"James Earl Ray , 60 , is serving 99 years in prison for first-degree murder of King in Memphis on April 4 , 1968 .","[['James Earl Ray', 'Kill', 'King']]","[['James Earl Ray', 'Kill', 'King']]]"
"( Excerpts ) US President Bill Clinton 's decision to lift a long-standing trade embargo against Vietnam had been expected. ( passage omitted ) In his White House speech , Clinton said the time for bitterness was over and now was the time for a new beginning between Hanoi and Washington .","[['Bill Clinton', 'Live_In', 'US']]","[['Bill Clinton', 'Work_For', 'US President Bill Clinton']]"
"In Washington , U.S officials announced that the Navy will rotate two aircraft carrier battle groups well away from Libya as one replaces the other .","[['Washington', 'Located_In', 'U.S'], ['Navy', 'OrgBased_In', 'U.S']]","[['Washington', 'Live_In', 'Washington']]"
"Such theories , which are not alone in the international press , find support in another agreement that was also signed in Geneva -- which the Croatian opposition ostensibly did not notice , to the great surprise and almost astonishment of all , and consequently did not comment on , although the integral text was published in Croatian newspapers -- the agreement signed between Mile Akmadzic , on behalf of the Croatian Republic of Herceg-Bosna , and Nikola Koljevic , on behalf of the Serbian Republic , in which both sides emphasize that "" there are no disputed issues between them that cannot be solved in a peaceful way . ""","[['Mile Akmadzic', 'Live_In', 'Croatian Republic of Herceg-Bosna'], ['Nikola Koljevic', 'Live_In', 'Serbian Republic']]","[['mile akmadzic', 'live_in', 'Croatian Republic of Herceg-Bosna']]"
"Tal , a senior Defense Ministry official , has not repeated these views in public .","[['Tal', 'Work_For', 'Defense Ministry']]","[['Tal', 'Located_In', 'Military']]"
"Lennon was shot to death Dec. 8 , 1980 , in the courtyard of his New York City apartment building by Mark David Chapman , a former Beatles ' fan who was convicted of the killing and sentenced to prison for a term of 20 years to life .","[['Mark David Chapman', 'Kill', 'Lennon']]","[['Mark David Chapman', 'Live_In', 'New York City'], ['Mark David Chapman', 'Live_In', 'New York City']]"
"In 1890 , the 34th President of the United States , Dwight D. Eisenhower , was born in Denison , Texas .","[['Dwight D. Eisenhower', 'Live_In', 'Denison , Texas']]","[['Dwight D. Eisenhower', 'Live_In', 'Denison, Texas']]"
"By contrast , nearly 6 million square feet of downtown office space is newly completed , under construction or has received city permits , said Virginia Galle , a City Council member and CAP supporter .","[['Virginia Galle', 'Work_For', 'City Council']]","[['Virginia Galle', 'Work_For', 'City Council']]"
Harrington taught at Harvard University and the National War College.,"[['Harrington', 'Work_For', 'Harvard University'], ['Harrington', 'Work_For', 'National War College.']]","[['Harrington', 'Work_For', 'Harrison University'], ['Harrison', 'Located_In', 'National War College']]"
"The federal appeals court threw out the death sentence of John Harvey Adamson , convicted of murdering Phoenix newspaper reporter Don Bolles in 1976 .","[['John Harvey Adamson', 'Kill', 'Don Bolles']]","[['John Harvey Adamson', 'Live_In', 'Phoena'], ['John Harvey Adamson', 'Kill', 'Don Bolles'], ['John Harvey Adamson', 'Live_In', 'OrgBased_In']]"
"Fred Farrar , another FAA spokesman , said airlines flying the 737-300s are Aloha , America West , American , Continental , Delta , Orion , Piedmont , Southwest , United and U.S. Air .","[['Fred Farrar', 'Work_For', 'FAA']]","[['Fred Farrar', 'Work_For', 'FAA']]"
"The trud newspaper features the last part of the memoirs by former commander of the Soviet Navy Nikolai Kuznetsov who personally knew Stalin , under the headline "" Stalin 's Death . ""","[['Navy', 'OrgBased_In', 'Soviet'], ['Nikolai Kuznetsov', 'Live_In', 'Soviet'], ['Nikolai Kuznetsov', 'Work_For', 'Navy'], ['Stalin', 'Live_In', 'Soviet'], ['Stalin', 'Live_In', 'Soviet']]","[['Nikolay Kuznetsov', 'Work_For', 'Soviet Navy']]"
National Congress President Vinicio Villar Anleu commented on the implications of the case : ( Begin recording ) ( Villar Anleu ) It seems to us -- and we uphold Congress ' institutional policy -- that the nation 's laws must be respected and that the Constitution must be respected .,"[['Vinicio Villar Anleu', 'Work_For', 'National Congress']]","[['Van Anleu', 'Work_For', 'National Congress']"
"Several organizations planned remembrances later today at Parkland Memorial Hospital , where Kennedy was taken after being shot , and the Texas Theater , where Lee Harvey Oswald was arrested hours after the assassination .","[['Lee Harvey Oswald', 'Kill', 'Kennedy']]","[['Parkland Memorial Hospital', 'Live_In', 'Texas Theater']]"
Ambassador Miller is also scheduled to meet with Crimean Deputy Yevhen Saburov and Black Sea Fleet Commander Eduard Baltin.,"[['Eduard Baltin.', 'Work_For', 'Black Sea Fleet']]","[[['Eduardo Baltin', 'Live_In', 'Black Sea Fleet']]]"
"` ` I think the longer they talk , the longer they delay , the greater the chances that we may turn this around and get them all home , ' ' said Ms. Say in Nashville , Tenn.","[['Nashville', 'Located_In', 'Tenn.']]","[['Say', 'Located_In', 'Nashville, Tenn.']]"
A chart used to decipher the code was found among Booth 's effects after he was shot by Union soldiers 11 days after the assassination of Lincoln .,"[['Booth', 'Kill', 'Lincoln']]","[['Lincoln', 'Kit', 'Sir William Booth']]"
"( Text ) Taipei , Jan. 20 ( CNA ) -- Foreign Chien Fu will leave for the United States on January 29 to give two speeches in the Boston area .","[['Chien Fu', 'Live_In', 'Taipei']]","[['Chien Fu', 'Work_For', 'CNA']]"
"` ` ` Ryan 's Hope ' has not been rejected by the audience , it has simply been unavailable to viewers , ' ' Jo Ann Emmerich , vice president of daytime programs for ABC Entertainment , said at the time .","[['Jo Ann Emmerich', 'Work_For', 'ABC Entertainment']]","[['Jo Ann Emmerich', 'Work_For', 'ABC Entertainment']]"
"On this date : In 1843 , the 25th President of the United States , William McKinley , was born in Niles , Ohio .","[['William McKinley', 'Live_In', 'Niles , Ohio']]","[['William McKinley', 'Live_In', 'Niles, Ohio']]"
Moscow MOSKOVSKIY KOMSOMOLETS,"[['MOSKOVSKIY KOMSOMOLETS', 'OrgBased_In', 'Moscow']]","[['Moscove', 'ORGBased_In', 'Moscove']]"
"In 1874 , Herbert Clark Hoover , the 31st president of the United States , was born in West Branch , Iowa .","[['Herbert Clark Hoover', 'Live_In', 'West Branch , Iowa']]","[['Herbert Clark Hoover', 'Live_In', 'West Branch, Iowa']]"
"Many had hoped their loyality would convince the banks , primarily the Frankfurt-based Commerzbank and Giessen 's Bezirksparkasse bank , to continue to help Minox , but the hope backfired on those who were layed off , he said .","[['Bezirksparkasse bank', 'OrgBased_In', 'Giessen']]","[['Mintz', 'Work_For', 'Comerzbank']]"
"An abstract theory explaining the structure of minimal surface in Riemann 's multi-dimensional space has been developed by Wang Guangyan , with the assistance of his PhD student , at the Institute of Mathematics .","[['Wang Guangyan', 'Work_For', 'Institute of Mathematics']]","[['Wang Guangyan', 'Work_For', 'Institute of Mathematics']]"
"Owen Le Vallee , president of the Liberation Day Committee , said his mother found a starving German in the outhouse during the year after D-Day , the 1944 Allied invasion of Europe.","[['Owen Le Vallee', 'Work_For', 'Liberation Day Committee']]","[['Own Le Vallee', 'Work_For', 'Livy Day Committee']]"
"KARBALA , Iraq ( AP )","[['KARBALA', 'Located_In', 'Iraq'], ['AP', 'OrgBased_In', 'KARBALA'], ['AP', 'OrgBased_In', 'Iraq']]","[['KARBALA', 'Work_For', 'AP']]"
"Another beacon of the better life is Prateep Ungsongtham , known as the ` ` Slum Angel of Bangkok. ' '","[['Prateep Ungsongtham', 'Live_In', 'Bangkok.']]","[['Prateep Ungsongtham', 'Live_In', 'Bangkok']]"
"( Text ) In an interview with Interfax the chief of Belarus 's Security Committee , Eduard Shirkovskiy , has dismissed rumors that the copies of the files relating to Lee Harvey Oswald , who was charged with having assassinated President John Kennedy , will be handed to President Bill Clinton during his visit to Minsk .","[['Lee Harvey Oswald', 'Kill', 'President John Kennedy']]","[['Explanation', 'Explanation', 'Interfax']]"
"Michael Henley Jr. , 10 , disappeared on a turkey hunt with his father in April 1988 in the mountains near their hometown of Grants , N.M. Ms. Calico , then 19 , disappeared five months later while bicycling on a country road near her hometown of Belen , N.M.","[['Michael Henley Jr.', 'Live_In', 'Grants'], ['Michael Henley Jr.', 'Live_In', 'N.M.'], ['Grants', 'Located_In', 'N.M.'], ['Ms. Calico', 'Live_In', 'N.M.'], ['Ms. Calico', 'Live_In', 'Belen'], ['Ms. Calico', 'Live_In', 'N.M.'], ['Belen', 'Located_In', 'N.M.']]","[['Michael Henley Jr.', 'Live_In', 'Grants, N.M.']]"
( Text ) Moscow April 25 TASS -- Preliminary marine pollution measurements taken from the sites of radioactive waste dumping by the former Soviet Union and Japan in the Sea of Japan did not reveal any Caesium-137 radioactive level fluctuations .,"[['TASS', 'OrgBased_In', 'Moscow']]","[['Moscow', 'Destic', 'Russia']]"
"Police arrested 10 Spanish Basque militants , including Jose Antonio Urutigoechea , considered by Madrid to be a top leader of the Spanish Basque separatist organization ETA , authorities said today .","[['Jose Antonio Urutigoechea', 'Work_For', 'ETA']]","[['Jose Antonio Urutigoechea', 'Work_For','Madrid']]"
"The Warren Commission concluded that Oswald , acting alone , fired the shots that killed Kennedy and wounded John Connally , then the Texas governor .","[['Oswald', 'Kill', 'Kennedy']]","[['Oswald', 'Kill', 'Knighted', 'John Connally']]"
"The advisory committee voted 7-1 to recommend that the drug remain a prescription ingredient , said Susan Cruzan , an FDA spokeswoman.","[['Susan Cruzan', 'Work_For', 'FDA']]","[['Susan Cruzan', 'Work_For', 'FDA']]"
"` ` It 's been a nightmare , ' ' said Shelley Yeager , director of the Clara Barton camp at Oxford in central Massachusetts.","[['Oxford', 'Located_In', 'Massachusetts.']]","[['Sheley Yeager', 'Live_In', 'Oxford']]"
"And William McKinley 's assassin Leon Czolgosz croons "" The Ballad of Czolgosz "" from the electric chair .","[['Leon Czolgosz', 'Kill', 'William McKinley']]","[['Leon Czolgosz', 'Live_In', 'William McKinley']]"
Yeltsin Orders Audit of Ostankino Finances MK1401103094 Moscow MOSKOVSKIY KOMSOMOLETS in Russian 14 Jan 94 p 1,"[['MOSKOVSKIY KOMSOMOLETS', 'OrgBased_In', 'Moscow']]","[['Moscow', 'Located_In', 'Moscow']]"
