text,gen,fn
"in 1873 , radio electronics pioneer dr. lee deforest was born in council bluffs , iowa .","[['dr. lee deforest', 'live_in', 'council bluffs, iowa']]","['dr. lee deforest', 'live_in', 'council bluffs , iowa']"
"in southwest louisiana 's cameron parish ( county ) , civil defense director hayes picou about 8 , 500 of the low-lying parish 's 10 , 000 residents had evacuated the southern coast , most to stay with friends or relatives.","[['cardamo parish', 'located_in', 'louisiana']]","['cameron parish', 'located_in', 'louisiana']"
"in southwest louisiana 's cameron parish ( county ) , civil defense director hayes picou about 8 , 500 of the low-lying parish 's 10 , 000 residents had evacuated the southern coast , most to stay with friends or relatives.","[['cardamo parish', 'located_in', 'louisiana']]","['hayes picou', 'live_in', 'louisiana']"
"in southwest louisiana 's cameron parish ( county ) , civil defense director hayes picou about 8 , 500 of the low-lying parish 's 10 , 000 residents had evacuated the southern coast , most to stay with friends or relatives.","[['cardamo parish', 'located_in', 'louisiana']]","['hayes picou', 'live_in', 'cameron parish']"
"in washington , u.s officials announced that the navy will rotate two aircraft carrier battle groups well away from libya as one replaces the other .","[['washington', 'located_in', 'u.s.']]","['navy', 'orgbased_in', 'u.s']"
"such theories , which are not alone in the international press , find support in another agreement that was also signed in geneva -- which the croatian opposition ostensibly did not notice , to the great surprise and almost astonishment of all , and consequently did not comment on , although the integral text was published in croatian newspapers -- the agreement signed between mile akmadzic , on behalf of the croatian republic of herceg-bosna , and nikola koljevic , on behalf of the serbian republic , in which both sides emphasize that "" there are no disputed issues between them that cannot be solved in a peaceful way . ""","[['mile akmadzic', 'work_for', 'croatian republic of herceg-bosna'], ['nikokoljevic', 'work_for', 'serbian republic']]","['mile akmadzic', 'live_in', 'croatian republic of herceg-bosna']"
"such theories , which are not alone in the international press , find support in another agreement that was also signed in geneva -- which the croatian opposition ostensibly did not notice , to the great surprise and almost astonishment of all , and consequently did not comment on , although the integral text was published in croatian newspapers -- the agreement signed between mile akmadzic , on behalf of the croatian republic of herceg-bosna , and nikola koljevic , on behalf of the serbian republic , in which both sides emphasize that "" there are no disputed issues between them that cannot be solved in a peaceful way . ""","[['mile akmadzic', 'work_for', 'croatian republic of herceg-bosna'], ['nikokoljevic', 'work_for', 'serbian republic']]","['nikola koljevic', 'live_in', 'serbian republic']"
"in 1890 , the 34th president of the united states , dwight d. eisenhower , was born in denison , texas .","[['dwight d. eisenhower', 'live_in', 'denison, texas']]","['dwight d. eisenhower', 'live_in', 'denison , texas']"
"the federal appeals court threw out the death sentence of john harvey adamson , convicted of murdering phoenix newspaper reporter don bolles in 1976 .","[['john harvey adamson', 'kill', 'phoenix newspaper reporter']]","['john harvey adamson', 'kill', 'don bolles']"
"the trud newspaper features the last part of the memoirs by former commander of the soviet navy nikolai kuznetsov who personally knew stalin , under the headline "" stalin 's death . ""","[['nikolai kuznetsov', 'work_for', 'soviet navy']]","['navy', 'orgbased_in', 'soviet']"
"the trud newspaper features the last part of the memoirs by former commander of the soviet navy nikolai kuznetsov who personally knew stalin , under the headline "" stalin 's death . ""","[['nikolai kuznetsov', 'work_for', 'soviet navy']]","['nikolai kuznetsov', 'live_in', 'soviet']"
"the trud newspaper features the last part of the memoirs by former commander of the soviet navy nikolai kuznetsov who personally knew stalin , under the headline "" stalin 's death . ""","[['nikolai kuznetsov', 'work_for', 'soviet navy']]","['stalin', 'live_in', 'soviet']"
"the trud newspaper features the last part of the memoirs by former commander of the soviet navy nikolai kuznetsov who personally knew stalin , under the headline "" stalin 's death . ""","[['nikolai kuznetsov', 'work_for', 'soviet navy']]","['stalin', 'live_in', 'soviet']"
"( text ) taipei , jan. 20 ( cna ) -- foreign chien fu will leave for the united states on january 29 to give two speeches in the boston area .","[['cna', 'orgbased_in', 'taipei'], ['chen fu', 'live_in', 'taipei'], ['chen fu', 'live_in', 'united states']]","['chien fu', 'live_in', 'taipei']"
"on this date : in 1843 , the 25th president of the united states , william mckinley , was born in niles , ohio .","[['william mckinley', 'live_in', 'niles, ohio']]","['william mckinley', 'live_in', 'niles , ohio']"
"in 1874 , herbert clark hoover , the 31st president of the united states , was born in west branch , iowa .","[['herbert clark hoover', 'live_in', 'west branch, iowa']]","['herbert clark hoover', 'live_in', 'west branch , iowa']"
"karbala , iraq ( ap )","[['ap', 'orgbased_in', 'karbala'], ['ap', 'orgbased_in', 'iraq']]","['karbala', 'located_in', 'iraq']"
"another beacon of the better life is prateep ungsongtham , known as the ` ` slum angel of bangkok. ' '","[['prateeep ungsongtham', 'live_in', 'bangkok']]","['prateep ungsongtham', 'live_in', 'bangkok.']"
"michael henley jr. , 10 , disappeared on a turkey hunt with his father in april 1988 in the mountains near their hometown of grants , n.m. ms. calico , then 19 , disappeared five months later while bicycling on a country road near her hometown of belen , n.m.","[['ms. calico', 'live_in', 'belen'], ['michael henley jr.', 'live_in', 'grants'], ['ms. calico', 'live_in', 'n.m.']]","['michael henley jr.', 'live_in', 'n.m.']"
"michael henley jr. , 10 , disappeared on a turkey hunt with his father in april 1988 in the mountains near their hometown of grants , n.m. ms. calico , then 19 , disappeared five months later while bicycling on a country road near her hometown of belen , n.m.","[['ms. calico', 'live_in', 'belen'], ['michael henley jr.', 'live_in', 'grants'], ['ms. calico', 'live_in', 'n.m.']]","['grants', 'located_in', 'n.m.']"
"michael henley jr. , 10 , disappeared on a turkey hunt with his father in april 1988 in the mountains near their hometown of grants , n.m. ms. calico , then 19 , disappeared five months later while bicycling on a country road near her hometown of belen , n.m.","[['ms. calico', 'live_in', 'belen'], ['michael henley jr.', 'live_in', 'grants'], ['ms. calico', 'live_in', 'n.m.']]","['belen', 'located_in', 'n.m.']"
"police arrested 10 spanish basque militants , including jose antonio urutigoechea , considered by madrid to be a top leader of the spanish basque separatist organization eta , authorities said today .","[['joaquin antonio urutigoechea', 'work_for', 'eta']]","['jose antonio urutigoechea', 'work_for', 'eta']"
"meanwhile , the historical society in beaumont , texas , richardson 's hometown , plans to raise two statues on feb. 3 _ one of buddy holly , richardson and valens , and a second of the big bopper alone .","[['bearut', 'located_in', 'texas']]","['richardson', 'live_in', 'beaumont , texas']"
"at a briefing at nrc headquarters in nearby rockville , md. , bernero said the volcanic cones in the area of yucca mountain have been a cause of concern for nrc experts.","[['nrc', 'orgbased_in', 'rockville'], ['nrc', 'orgbased_in', 'md.'], ['rockville', 'located_in', 'md.']]","['bernero', 'work_for', 'nrc']"
"( text ) saint-gall , switzerland , feb 2 ( afp ) -- the wreck of a twin-engine aircraft has been found 160 metres below the surface of lake constance , swiss police said tuesday ( 1 february ) .","[['stan-gall', 'located_in', 'switzerland']]","['saint-gall', 'located_in', 'switzerland']"
"( text ) saint-gall , switzerland , feb 2 ( afp ) -- the wreck of a twin-engine aircraft has been found 160 metres below the surface of lake constance , swiss police said tuesday ( 1 february ) .","[['stan-gall', 'located_in', 'switzerland']]","['afp', 'orgbased_in', 'saint-gall']"
"( text ) saint-gall , switzerland , feb 2 ( afp ) -- the wreck of a twin-engine aircraft has been found 160 metres below the surface of lake constance , swiss police said tuesday ( 1 february ) .","[['stan-gall', 'located_in', 'switzerland']]","['afp', 'orgbased_in', 'switzerland']"
"in an "" electoral communique "" signed by cntp secretary luis cobos r. , the organization said it hopes that with this decision "" we will achieve the return of the torrijist forces to power to stimulate the process of national liberation . ""","[['cntp', 'orgbased_in', 'luis cobos r.']]","['luis cobos r.', 'work_for', 'cntp']"
"in it , actor edwin booth tells us his version of his life story , in which he and not his brother john wilkes shoots abraham lincoln at ford 's theater .","[['edwin booth', 'kill', 'abraham lincoln']]","['john wilkes', 'kill', 'abraham lincoln']"
"in 1801 , mormon leader brigham young was born in whitingham , vt .","[['brigham young', 'live_in', 'whitingham, vt']]","['brigham young', 'live_in', 'whitingham , vt']"
""" i was hearing the same story , "" says james hackett , an executive with titan systems and one of the leading missile experts in the u.s .","[['james hackett', 'work_for', 'titan systems']]","['james hackett', 'live_in', 'u.s .']"
they will also be cleaning the car oswald drove on the day kennedy was shot and the ambulance that took oswald to hospital after he was shot by jack ruby .,"[['oswald', 'kill', 'kennedy']]","['jack ruby', 'kill', 'oswald']"
"widespread street flooding was reported throughout brazoria , fort bend , galveston and southern harris counties in southeast texas.","[['brazoria', 'located_in', 'fort bend'], ['fort bend', 'located_in', 'galveston'], ['harrisburg', 'located_in', 'texas'], ['harrisburg', 'located_in', 'texas']]","['brazoria', 'located_in', 'texas.']"
"widespread street flooding was reported throughout brazoria , fort bend , galveston and southern harris counties in southeast texas.","[['brazoria', 'located_in', 'fort bend'], ['fort bend', 'located_in', 'galveston'], ['harrisburg', 'located_in', 'texas'], ['harrisburg', 'located_in', 'texas']]","['fort bend', 'located_in', 'texas.']"
"widespread street flooding was reported throughout brazoria , fort bend , galveston and southern harris counties in southeast texas.","[['brazoria', 'located_in', 'fort bend'], ['fort bend', 'located_in', 'galveston'], ['harrisburg', 'located_in', 'texas'], ['harrisburg', 'located_in', 'texas']]","['galveston', 'located_in', 'texas.']"
"widespread street flooding was reported throughout brazoria , fort bend , galveston and southern harris counties in southeast texas.","[['brazoria', 'located_in', 'fort bend'], ['fort bend', 'located_in', 'galveston'], ['harrisburg', 'located_in', 'texas'], ['harrisburg', 'located_in', 'texas']]","['harris counties', 'located_in', 'texas.']"
"navy sources said the coral sea , on duty with the 6th fleet in the mediterranean , left ` ` a few hours ' ' ahead of its scheduled departure.","[['coral sea', 'located_in', 'mediterranean']]","['6th fleet', 'orgbased_in', 'mediterranean']"
