input,explanations,gold_relations
"TEXT: Sevket Kazan , deputy leader of the RP ( Welfare Party ) parliamentary group , said : The DEP made this decision fearing that it will not be able to win the elections .","Explanation: Sevket Kazan is the deputy leader of the RP (Welfare Party) parliamentary group, so we can infer that he works for both the RP and the Welfare Party.</s>","[['Sevket Kazan', 'Work_For', 'RP'], ['Sevket Kazan', 'Work_For', 'Welfare Party']]"
TEXT: The sources added that patrolling of malls was increased during the Christmas period following the discovery of fire bombs installed in teddy bears in a mall in Santiago and in a shop in southern Chile.,"Explanation: Fire bombs were discovered in a mall in Santiago, Chile. Therefore, Santiago is located in Chile.</s>","[['Santiago', 'Located_In', 'Chile.']]"
"TEXT: Actress Angie Dickinson , who was born in Kulm , N.D. , donated a coat she wore to the 1966 Academy Awards","Explanation: Actress Angie Dickinson was born in Kulm, N.D. and presumably lived there.</s>","[['Actress Angie Dickinson', 'Live_In', 'Kulm , N.D.']]"
"TEXT: ( Text ) The National Space Development Agency of Japan ( NASDA ) will soon start remodeling the domestically-made , large-scale H-2 rocket , which was successfully test-launched recently .",Explanation: The National Space Development Agency is an organization based in Japan.</s>,"[['The National Space Development Agency', 'OrgBased_In', 'Japan']]"
TEXT: Prague Radiozurnal Radio Network,Explanation: Radiozurnal Radio Network is an organization based in Prague.</s>,"[['Radiozurnal Radio Network', 'OrgBased_In', 'Prague']]"
"TEXT: David Peterson , 37 , a mental patient at Connecticut Valley Hospital in Middletown , was charged with murder.",Explanation: Connecticut Valley Hospital is located in Middletown.</s>,"[['Connecticut Valley Hospital', 'Located_In', 'Middletown']]"
"TEXT: Lennon was fatally shot by Mark David Chapman outside the Dakota on Dec. 8 , 1980.","Explanation: Mark David Chapman killed Lennon outside the Dakota on Dec. 8, 1980.</s>","[['Mark David Chapman', 'Kill', 'Lennon']]"
"TEXT: David Cicippio , an electronics technician from North Wales , Pa. , voiced frustration with the latest ordeal , which was provoked by the Israeli abduction of a Shiite Moslem cleric , Sheik Abdul Karim Obeid , last week.","Explanation: David Cicippio is an electronics technician from North Wales, Pa., so it can be derived that he lives in North Wales, which is located in Pa..</s>","[['David Cicippio', 'Live_In', 'North Wales'], ['David Cicippio', 'Live_In', 'Pa.'], ['North Wales', 'Located_In', 'Pa.']]"
"TEXT: On this date : In 1758 , the fifth president of the United States , James Monroe , was born in Westmoreland County , Va .","Explanation: James Monroe was born in Westmoreland County, Va., thus he lived in Westmoreland County, Va..</s>","[['James Monroe', 'Live_In', 'Westmoreland County , Va']]"
TEXT: Moscow INTERFAX,Explanation: INTERFAX is an organization based in Moscow.</s>,"[['INTERFAX', 'OrgBased_In', 'Moscow']]"
"TEXT: At a large truck stop east of the airport , some 2 , 000 truck drivers and campers waited for the winds to die down , said Lance Davis , general manager of Truck Stops of America in Ontario .","Explanation: Lance Davis is the general manager of Truck Stops of America, which is based in Ontario, and he lives in Ontario.</s>","[['Lance Davis', 'Work_For', 'Truck Stops of America'], ['Lance Davis', 'Live_In', 'Ontario'], ['Truck Stops of America', 'OrgBased_In', 'Ontario']]"
"TEXT: Barbara Houser , attorney for the Peruvian silver mining company Minpeco S.A. , which seeks $251 million , said she also has a plan prepared.",Explanation: Barbara Houser is an attorney for the Peruvian silver mining company Minpeco S.A..</s>,"[['Barbara Houser', 'Work_For', 'Minpeco S.A.']]"
"TEXT: Loei Opium Eradication Incomplete 94WD0125D Bangkok DAO SIAM in Thai 20 Nov 93 pp 15 , 18",Explanation: DAO SIAM is an organization based in Bangkok.</s>,"[['DAO SIAM', 'OrgBased_In', 'Bangkok']]"
"TEXT: SEOUL , South Korea ( AP )","Explanation: SEOUL is located in South Korea and AP is an organization based in SEOUL, South Korea.</s>","[['SEOUL', 'Located_In', 'South Korea'], ['AP', 'OrgBased_In', 'SEOUL'], ['AP', 'OrgBased_In', 'South Korea']]"
"TEXT: Nevertheless , Indemerc-Louis Harris President Vicente Licona said that most of this support has gone to Labor Party ( PT ) candidate Cecilia Soto , while support for the remaining contenders in this group has shown little or no change .",Explanation: Vicente Licona is the President of Indemerc-Louis Harris and Cecilia Soto is a candidate for the Labor Party.</s>,"[['Vicente Licona', 'Work_For', 'Indemerc-Louis Harris'], ['Cecilia Soto', 'Work_For', 'Labor Party']]"
"TEXT: Regarding the declaration on the situation in Angola , African states welcomed the acceptance by the Angolan Government of the proposals on national reconciliation and the efforts and the initiatives made by the United Nations to build trust between the parties and put forward proposals to reach compromise solutions on highly sensitive matters to both the parties to the conflicts .",Explanation: The Angolan Government is an organization based in Angola.</s>,"[['Angolan Government', 'OrgBased_In', 'Angola']]"
"TEXT: MEMPHIS , Tenn .",Explanation: MEMPHIS is a place located in Tenn..</s>,"[['MEMPHIS', 'Located_In', 'Tenn .']]"
"TEXT: The newly elected deputies were also greeted by a guest from Moscow , Russian State Duma Deputy Konstantin Zatulin , who expressed his confidence that the new parliament has the possibility to open a new chapter in Crimean history , and that the Crimea will become a promised land for everybody .",Explanation: Konstantin Zatulin is a Deputy for the Russian State Duma and lives in Moscow. The Russian State Duma is an organization based in Moscow.</s>,"[['Russian State Duma', 'OrgBased_In', 'Moscow'], ['Konstantin Zatulin', 'Live_In', 'Moscow'], ['Konstantin Zatulin', 'Work_For', 'Russian State Duma']]"
TEXT: Thurgood Marshall was born in Baltimore in 1908 .,Explanation: Thurgood Marshall was born in Baltimore and therefore lived in Baltimore.</s>,"[['Thurgood Marshall', 'Live_In', 'Baltimore']]"
"TEXT: In San Diego County , a 50-acre fire fanned by 60 mph winds burned out of control Thursday afternoon near the city of Ramona , the California Department of Forestry reported .","Explanation: The California Department of Forestry reported a fire near the city of Ramona, which implies that Ramona is located in San Diego County.</s>","[['Ramona', 'Located_In', 'San Diego']]"
"TEXT: In 1872 , the 30th U.S. president , Calvin Coolidge , was born in Plymouth , Vt .","Explanation: Calvin Coolidge was born in Plymouth, Vt., and therefore lived there.</s>","[['Calvin Coolidge', 'Live_In', 'Plymouth , Vt']]"
TEXT: Lt. Jim Bowell of the Butler Township Fire Department said the 4 : 45 a.m. accident set fire to about 100 yards of woods .,Explanation: Jim Bowell is a Lieutenant of the Butler Township Fire Department.</s>,"[['Jim Bowell', 'Work_For', 'Butler Township Fire Department']]"
"TEXT: TRENTON , N.J.",Explanation: TRENTON is a place located in N.J..</s>,"[['TRENTON', 'Located_In', 'N.J.']]"
"TEXT: Soprano Judy Kaye , who won a Tony on Broadway last year , stars in the New York Opera Repertory Theater production , and is splendid in the pivotal role of Abbie .","Explanation: Judy Kaye stars in the New York Opera Repertory Theater production, thus she works for the said organization.</s>","[['Judy Kaye', 'Work_For', 'New York Opera Repertory Theater']]"
TEXT: Chapman said he first got the idea for killing Lennon when he came across a Beatles picture book in a Honolulu library .,Explanation: Chapman killed Lennon and the idea first came to him when he found a Beatles picture book in a Honolulu library.</s>,"[['Chapman', 'Kill', 'Lennon']]"
"TEXT: The Bench , which made these orders after perusal of the affidavits concerned , however , said that there was no justification for proceeding against Mr. Vishnu Hari Dalmia , leader of the banned VHP .",Explanation: Mr. Vishnu Hari Dalmia is the leader of the banned VHP.</s>,"[['Mr. Vishnu Hari Dalmia', 'Work_For', 'VHP']]"
"TEXT: A memorial to President Kennedy on the sixth floor of the former Texas Schoolbook Depository , from which Lee Harvey Oswald allegedly fired the shots that killed him , will open on Presidents Day , organizers say.",Explanation: Lee Harvey Oswald allegedly fired the shots that killed President Kennedy.</s>,"[['Lee Harvey Oswald', 'Kill', 'President Kennedy']]"
"TEXT: It 's a political problem , ' ' said Ernest L. Boyer , a national spokesman for reform and president of the Carnegie Foundation for the Advancement of Teaching , which has produced several reports on urban school problems .",Explanation: Ernest L. Boyer is a national spokesman for reform and president of the Carnegie Foundation for the Advancement of Teaching.</s>,"[['Ernest L. Boyer', 'Work_For', 'Carnegie Foundation for the Advancement of Teaching']]"
"TEXT: Police are investigating to determine the origin of the four children who , according to Martina Matzar , are from Santa Catarina Palopo , Solola .",Explanation: Santa Catarina Palopo is a place located in Solola.</s>,"[['Santa Catarina Palopo', 'Located_In', 'Solola']]"
"TEXT: Someone cut ropes holding up the plastic foam , wood and plaster figure Sunday night and it crashed to the ground at the entrance of the Chinese Consolidated Benevolent Association , said President Stephen K. Yee.",Explanation: Stephen K. Yee is the President of the Chinese Consolidated Benevolent Association.</s>,"[['Stephen K. Yee.', 'Work_For', 'Chinese Consolidated Benevolent Association']]"
"TEXT: The compliment is doubly interesting because Tom Wolfe , born in Richmond , was one of the best known early practitioners of the so-called "" new journalism , "" a high-rolling , lively , often reckless style of reporting .",Explanation: Tom Wolfe was born in Richmond and therefore lived in Richmond.</s>,"[['Tom Wolfe', 'Live_In', 'Richmond']]"
"TEXT: Louis W. Parker , born in Budapest , Hungary , who is credited with developing the television receiver.","Explanation: Louis W. Parker was born in Budapest, Hungary and thus lived there.</s>","[['Louis W. Parker', 'Live_In', 'Budapest , Hungary']]"
"TEXT: ` ` Crop rotation may be the answer to sustaining long-term productivity of our land to provide billions of people with food , fuel and other renewable resources , ' ' says Gary H. Heichel , a plant physiologist with the USDA 's agricultural research service.",Explanation: Gary H. Heichel is a plant physiologist with the USDA's agricultural research service.</s>,"[['Gary H. Heichel', 'Work_For', 'USDA']]"
TEXT: Sao Paulo O ESTADO DE SAO PAULO,Explanation: O ESTADO DE SAO PAULO is an organization based in Sao Paulo.</s>,"[['O ESTADO DE SAO PAULO', 'OrgBased_In', 'Sao Paulo']]"
"TEXT: It 's called the Sixth Floor , after the location -- the sixth floor of the old Texas School Book Depository , from which Lee Harvey Oswald fired the shots that killed Kennedy .",Explanation: Lee Harvey Oswald fired the shots that killed Kennedy.</s>,"[['Lee Harvey Oswald', 'Kill', 'Kennedy']]"
"TEXT: In 1782 , the first president who was a native citizen of the UnitedStates , Martin Van Buren , was born in Kinderhook , N.Y.","Explanation: Martin Van Buren was born in Kinderhook, N.Y., so he must have lived there.</s>","[['Martin Van Buren', 'Live_In', 'Kinderhook , N.Y.']]"
"TEXT: Both high level employees as well as lower-level ones were obliged to clear out , to run away because of threats by 18 January Senator Osny Eugene , the quaestor of the unofficial Senate office who was very angry and took off his jacket so he could drive employees out .",Explanation: Osny Eugene is a Senator and a quaestor of the unofficial Senate office.</s>,"[['Osny Eugene', 'Work_For', 'Senate']]"
TEXT: Agents of the FBI and the Environmental Protection Agency raided the Rocky Flats plutonium processing plant in Colorado and the Fernald uranium processing plant in Ohio this summer.,Explanation: Rocky Flats plutonium processing plant is located in Colorado and the Fernald uranium processing plant is located in Ohio.</s>,"[['Rocky Flats', 'Located_In', 'Colorado'], ['Fernald', 'Located_In', 'Ohio']]"
TEXT: Berlin N-TV,Explanation: N-TV is an organization based in Berlin.</s>,"[['N-TV', 'OrgBased_In', 'Berlin']]"
"TEXT: HK1306023694 Beijing JINGJI YANJIU in Chinese No 3 , 20 Mar 94 pp 43 , 67-70",Explanation: JINGJI YANJIU is an organization based in Beijing.</s>,"[['JINGJI YANJIU', 'OrgBased_In', 'Beijing']]"
"TEXT: KHARTOUM , Sudan ( AP )",Explanation: KHARTOUM is located in Sudan.</s>,"[['KHARTOUM', 'Located_In', 'Sudan']]"
"TEXT: The disclosure was contained in a half-inch-thick statement from James Cirona , president of the Federal Home Loan Bank of San Francisco .","Explanation: James Cirona is the president of the Federal Home Loan Bank, which is based in San Francisco, and where he also lives.</s>","[['James Cirona', 'Work_For', 'Federal Home Loan Bank'], ['James Cirona', 'Live_In', 'San Francisco'], ['Federal Home Loan Bank', 'OrgBased_In', 'San Francisco']]"
"TEXT: In 1901 , President McKinley 's assassin , Leon Czolgosz , was electrocuted .",Explanation: Leon Czolgosz was the assassin of President McKinley.</s>,"[['Leon Czolgosz', 'Kill', 'President McKinley']]"
"TEXT: This April 14 is the 125th anniversary of the night when Lincoln , the 16th president , was assassinated by John Wilkes Booth in the presidential box at Ford 's Theatre .","Explanation: John Wilkes Booth killed Lincoln, the 16th president, on the night of April 14th.</s>","[['John Wilkes Booth', 'Kill', 'Lincoln']]"
"TEXT: The following are the grounds of this assumption : First , it is too late to negotiate because our government already agreed to the UR basic principles on 15 December 1993 , presented our final "" country schedule "" for market opening , and signed the final protocol acknowledging the overall outcome of the UR round at Marrackech , Morocco , on 12 April this year .",Explanation: Marrackech is a place located in Morocco.</s>,"[['Marrackech', 'Located_In', 'Morocco']]"
"TEXT: "" IAI engineers are trying to enter completely new fields where unknowns dominate , "" says Reuven Pedatzur , a defense researcher who last month released a report on the Arrow for the Jaffe Center for Strategic Studies .",Explanation: Reuven Pedatzur is a defense researcher who works for the Jaffe Center for Strategic Studies.</s>,"[['Reuven Pedatzur', 'Work_For', 'Jaffe Center for Strategic Studies']]"
TEXT: Moscow NEZAVISIMAYA GAZETA,Explanation: NEZAVISIMAYA GAZETA is an organization based in Moscow.</s>,"[['NEZAVISIMAYA GAZETA', 'OrgBased_In', 'Moscow']]"
"TEXT: Among the assassins -- accused , convicted or would-be -- are Jace Alexander as Lee Harvey Oswald , Victor Garber as John Wilkes Booth , Debra Monk as Sara Jane Moore , Greg Germann as John Hinckley , Annie Golden as Lynette "" Squeaky "" Fromme ( who tried to kill President Ford ) and Terrence Mann as Leon Czolgosz ( who assassinated President McKinley ) .",Explanation: Leon Czolgosz was the assassin of President McKinley.</s>,"[['Leon Czolgosz', 'Kill', 'President McKinley']]"
"TEXT: Joe Weitz , another Emery employee , said the plane appeared to burst into flame shortly after it cleared the runway .",Explanation: Joe Weitz is an employee of Emery.</s>,"[['Joe Weitz', 'Work_For', 'Emery']]"
"TEXT: An Army panel said Monday it will consider next month whether to expunge Dr. Samuel Mudd 's 126-year-old conviction on charges of aiding Lincoln 's killer , John Wilkes Booth , by setting Booth 's broken leg after the assassination. ;",Explanation: John Wilkes Booth was the killer of Lincoln.</s>,"[['John Wilkes Booth', 'Kill', 'Lincoln']]"
"TEXT: In a bizarre allegation , Anderson said the same photo analysts also concluded that a picture of three hobos near the shooting scene taken shortly after the killing appear to show Watergate conspirator E. Howard Hunt and James Earl Ray , the killer of Martin Luther King Jr .",Explanation: James Earl Ray was the killer of Martin Luther King Jr..</s>,"[['James Earl Ray', 'Kill', 'Martin Luther King Jr']]"
"TEXT: Until there is discussion of the candidature of a new minister of foreign affairs , his duties will be discharged by Birkavs himself ; but Gunars Meierovics ( minister of state for Baltic and Nordic affairs ) , Olgerts Pavlovskis ( minister of state for foreign trade and European Community affairs ) , and Martins Virsis ( first deputy minister of foreign affairs ) have been instructed to fulfill the positions they have held until now .","Explanation: Olgerts Pavlovskis is the Minister of State for Foreign Trade and European Community Affairs, which means he works for the European Community.</s>","[['Olgerts Pavlovskis', 'Work_For', 'European Community']]"
"TEXT: Portland , Maine 11 fair ;",Explanation: Portland is located in Maine.</s>,"[['Portland', 'Located_In', 'Maine']]"
"TEXT: John Mazor , spokesman for the Air Line Pilots Association , said he could not recall a specific incident of cross-wiring , but added , ` ` It is not unheard of for brand new aircraft to come off the assembly line with wires crossed or systems improperly configured. ' '",Explanation: John Mazor is a spokesman for the Air Line Pilots Association.</s>,"[['John Mazor', 'Work_For', 'Air Line Pilots Association']]"
"TEXT: "" Bellona "" members Nils Bemer and Tomas Nilsen ( both names as transliterated ) have gained access to Northern Fleet documents which state that in accordance with the START II treaty within the next few years Russia must destroy 150 nuclear submarines with 278 reactors on board .","Explanation: Nils Bemer and Tomas Nilsen are members of the organization Bellona, and the Northern Fleet is an organization based in Russia.</s>","[['Nils Bemer', 'Work_For', 'Bellona'], ['Tomas Nilsen', 'Work_For', 'Bellona'], ['Northern Fleet', 'OrgBased_In', 'Russia']]"
TEXT: Writer Elmore ( Dutch ) Leonard lives in suburban Birmingham and actor Tom Selleck _ who was born in Detroit _ lives in Southern California.,Explanation: Tom Selleck was born in Detroit and therefore lived in Detroit.</s>,"[['Tom Selleck', 'Live_In', 'Detroit']]"
TEXT: Mrs. Tsuruyama is from Yatsushiro in Kumamoto Prefecture in southern Japan .,"Explanation: Mrs. Tsuruyama lives in Yatsushiro, which is located in Kumamoto Prefecture and in Japan.</s>","[['Mrs. Tsuruyama', 'Live_In', 'Yatsushiro'], ['Mrs. Tsuruyama', 'Live_In', 'Kumamoto Prefecture'], ['Mrs. Tsuruyama', 'Live_In', 'Japan'], ['Yatsushiro', 'Located_In', 'Kumamoto Prefecture'], ['Yatsushiro', 'Located_In', 'Japan'], ['Kumamoto Prefecture', 'Located_In', 'Japan']]"
TEXT: Voices ` Disgust ' at Reports PM1602093194 Moscow KRASNAYA ZVEZDA in Russian 16 Feb 94 p 1,Explanation: KRASNAYA ZVEZDA is an organization based in Moscow.</s>,"[['KRASNAYA ZVEZDA', 'OrgBased_In', 'Moscow']]"
"TEXT: ( Editorial Report ) Panama City Circuito RPC Television in Spanish at 0200 GMT on 9 March broadcasts its 60-minute "" Democracy 94 "" program , which features a live or recorded interview with Ruben Blades , presidential candidate of the Papa Egoro Movement , MPE , by Hugo Enrique Famania .",Explanation: Ruben Blades is a presidential candidate for the Papa Egoro Movement and the MPE.</s>,"[['Ruben Blades', 'Work_For', 'Papa Egoro Movement'], ['Ruben Blades', 'Work_For', 'MPE']]"
"TEXT: In 1872 , the 30th president of the United States , Calvin Coolidge , was born in Plymouth , Vt .","Explanation: Calvin Coolidge was born in Plymouth, Vt and therefore lived in Plymouth, Vt.</s>","[['Calvin Coolidge', 'Live_In', 'Plymouth , Vt']]"
"TEXT: By a 4-3 vote , the justices refused to reinstate the death sentence of John Harvey Adamson , convicted of murdering newspaper reporter Don Bolles in 1976 .",Explanation: John Harvey Adamson was convicted of murdering Don Bolles in 1976.</s>,"[['John Harvey Adamson', 'Kill', 'Don Bolles']]"
"TEXT: Linguist Phillip Lieberman of Brown Univeristy in Providence , R.I. , was quoted as saying : ` ` At this point , the Kebara hyoid doesn 't tell us anything about the evolution of speech and language. ' '","Explanation: Phillip Lieberman works for Brown University and lives in Providence, R.I. Brown University is based in Providence, R.I. and Providence is located in R.I..</s>","[['Phillip Lieberman', 'Work_For', 'Brown Univeristy'], ['Phillip Lieberman', 'Live_In', 'Providence'], ['Phillip Lieberman', 'Live_In', 'R.I.'], ['Brown Univeristy', 'OrgBased_In', 'Providence'], ['Brown Univeristy', 'OrgBased_In', 'R.I.'], ['Providence', 'Located_In', 'R.I.']]"
"TEXT: Chris Herr , shearer for the winning Wool Wizards , finished his sheep first in about 2 -LCB- minutes .",Explanation: Chris Herr is a shearer for the winning Wool Wizards.</s>,"[['Chris Herr', 'Work_For', 'Wool Wizards']]"
"TEXT: If there has been an undisputed rookie of the season it has been Camden Yards , home of the Baltimore Orioles , a distinguished new-old stadium built on the spot where Babe Ruth is believed to have been born and nestling majestically among the warehouses of the inner city .","Explanation: Babe Ruth is believed to have been born at the spot where Camden Yards, home of the Baltimore Orioles, is located. Therefore, Babe Ruth lived in Camden Yards.</s>","[['Babe Ruth', 'Live_In', 'Camden Yards']]"
"TEXT: As to what should be the priority and how decisions should be made , the regime in power can decide about that. ( passage omitted on Ozawa 's assessment of postwar politics ) What Kind of Person Is "" Ichiro Ozawa "" ? ( Oikawa ) Some people are accusing you of forming a dual power structure in the ruling coalition in the same way as Kakuei Tanaka and Noboru Takeshita of the Liberal Democratic Party ( LDP ) did in the past .",Explanation: Kakuei Tanaka and Noboru Takeshita are both part of the Liberal Democratic Party.</s>,"[['Kakuei Tanaka', 'Work_For', 'Liberal Democratic Party'], ['Noboru Takeshita', 'Work_For', 'Liberal Democratic Party']]"
"TEXT: James Dickey , Georgia born , has been writer in residence at the University of South Carolina for 23 years now .",Explanation: James Dickey is a Georgia born writer and therefore we can assume he lives in Georgia.</s>,"[['James Dickey', 'Live_In', 'Georgia']]"
TEXT: The Warren Commission later concluded that Oswald shot Kennedy from a sniper 's perch in the Texas Schoolbook Depository building on the edge of downtown Dallas .,Explanation: The Warren Commission concluded that Oswald killed Kennedy.</s>,"[['Oswald', 'Kill', 'Kennedy']]"
"TEXT: It is also known that Booth wore false whiskers when he arrived at the doctor 's house after shooting Lincoln , and it is possible that Mudd didn 't recognize Booth .","Explanation: Booth was the shooter of Lincoln, thus he killed him.</s>","[['Booth', 'Kill', 'Lincoln']]"
"TEXT: The shipment of beef , worth about $100 , 000 , was processed by Cox Packing Co. in Devine , near San Antonio , and being sent to TSW Meats Ltd. of Liverpool .","Explanation: Cox Packing Co. is an organization based in Devine, near San Antonio and TSW Meats Ltd. is an organization based in Liverpool.</s>","[['Cox Packing Co.', 'OrgBased_In', 'Devine'], ['TSW Meats Ltd.', 'OrgBased_In', 'Liverpool']]"
"TEXT: Gallup Indian Center , N.M. ;",Explanation: Gallup Indian Center is a place located in N.M.</s>,"[['Gallup Indian Center', 'Located_In', 'N.M.']]"
"TEXT: Smith said there have been a number of successful civil cases against gun retailers in other states , including a recent judgment against K mart in a similar case in St. Claire Shores , Mich .","Explanation: K mart is an organization based in St. Claire Shores, Mich., which is a place located in Mich..</s>","[['K mart', 'OrgBased_In', 'St. Claire Shores'], ['K mart', 'OrgBased_In', 'Mich .'], ['St. Claire Shores', 'Located_In', 'Mich .']]"
"TEXT: His descendants founded the Minox company in Heuchelheim on Jan. 3 , 1949 .",Explanation: The Minox company is based in Heuchelheim.</s>,"[['Minox company', 'OrgBased_In', 'Heuchelheim']]"
"TEXT: Author Jim Moore was invited to argue his viewpoint : that Oswald , acting alone , killed Kennedy. ;","Explanation: Jim Moore argued that Oswald, acting alone, killed Kennedy.</s>","[['Oswald', 'Kill', 'Kennedy.']]"
"TEXT: ( Text ) Hefei , February 11 ( XINHUA ) -- Wherever you travel across the country , you are likely to find farmers from Anhui Province working on construction sites , in markets or fields , or serving as housekeepers .",Explanation: XINHUA is an organization based in Hefei.</s>,"[['XINHUA', 'OrgBased_In', 'Hefei']]"
"TEXT: U.S. diplomat Felix S. Bloch , suspected of spying for the Soviets , sipped grapefruit juice and calmly watched for 45 minutes as a foreign correspondent showed him videotapes and clippings of how his story is being told in his native Austria.","Explanation: Felix S. Bloch is a U.S. diplomat, so he lives in the U.S..</s>","[['Felix S. Bloch', 'Live_In', 'U.S.']]"
TEXT: Bork agreed there was an irony in his appearance since the man confirmed for the seat Bork had been up for _ Anthony M. Kennedy _ voted with the majority in the Supreme Court 's 5-4 ruling that flag burning is protected free speech.,Explanation: Anthony M. Kennedy is a justice of the Supreme Court.</s>,"[['Anthony M. Kennedy', 'Work_For', 'Supreme Court']]"
"TEXT: ( Text ) We have learned from a reliable source that Jean-Verdy Bastien , owner of the Celeste Borlette Banks and the private radio station Celeste FM , was assassinated on the night of 4 May at about 2200 in upper Delmas .",Explanation: Jean-Verdy Bastien was the owner of the Celeste Borlette Banks and the private radio station Celeste FM.</s>,"[['Jean-Verdy Bastien', 'Work_For', 'Celeste Borlette Banks'], ['Jean-Verdy Bastien', 'Work_For', 'Celeste FM']]"
"TEXT: If family tradition claims a connection to Jesse James , for example , as many Midwestern families ' histories do , start your research about Jesse James in an encyclopedia , which will tell you he was born near Kearney ( then Centerville ) in Clay County , Mo. , on Sept. 5 , 1847 , and died in St. Joseph , Mo. , on April 3 , 1882 , and that his family was originally from Kentucky .","Explanation: Jesse James was born near Kearney (then Centerville) in Clay County, Mo., and died in St. Joseph, Mo., so we can infer that he lived in these places.</s>","[['Jesse James', 'Live_In', 'Kearney'], ['Jesse James', 'Live_In', 'Centerville'], ['Jesse James', 'Live_In', 'Clay County , Mo.']]"
"TEXT: ` ` This is the first time someone brought back tangible evidence of these aircraft , ' ' said Epps , owner of Epps Aviation at suburban DeKalb Peachtree Airport , where the expedition returned in a DC-3 Monday.","Explanation: Epps is the owner of Epps Aviation, which is based in DeKalb Peachtree Airport.</s>","[['Epps', 'Work_For', 'Epps Aviation'], ['Epps Aviation', 'OrgBased_In', 'DeKalb Peachtree Airport']]"
TEXT: Croatia 's Granic Admits Downed Planes Took Off From Croatia LD0303083794 Moscow ITAR-TASS in English 0729 GMT 3 Mar 94,Explanation: Granic is from Croatia and therefore lives in Croatia.</s>,"[['Granic', 'Live_In', 'Croatia'], ['Granic', 'Live_In', 'Croatia']]"
TEXT: Remodeling Planned To Improve H-2 Rocket Launch OW2202091394 Tokyo MAINICHI SHIMBUN in Japanese 21 Feb 94 Morning Edition p 11 -- FOR OFFICIAL USE ONLY,Explanation: MAINICHI SHIMBUN is an organization based in Tokyo.</s>,"[['MAINICHI SHIMBUN', 'OrgBased_In', 'Tokyo']]"
"TEXT: In 1800 , the 13th president of the United States , Millard Fillmore , was born in Summerhill , N.Y. In 1927 , commercial transatlantic telephone service was inaugurated between New York and London .","Explanation: Millard Fillmore was born in Summerhill, N.Y., thus he lived in Summerhill, N.Y..</s>","[['Millard Fillmore', 'Live_In', 'Summerhill , N.Y.']]"
"TEXT: Last month , Harrington was named honorary president of the Socialist International at its centennial conference in Stockholm , Sweden.","Explanation: Last month Harrington was named honorary president of the Socialist International at its centennial conference in Stockholm, Sweden, so we can infer that Stockholm is located in Sweden.</s>","[['Stockholm', 'Located_In', 'Sweden.']]"
"TEXT: A reading of the unpublished "" Written in My Dream by William Carlos Williams "" led to an impromptu lecture by Ginsberg on his fellow New Jersey native , whose use of vernacular and vivid description were a great influence on Ginsberg and other Beat poets .",Explanation: Ginsberg is a fellow New Jersey native and therefore lived in New Jersey.</s>,"[['Ginsberg', 'Live_In', 'New Jersey']]"
"TEXT: Darci Alves Pereira stunned a packed courtroom by admitting he shot Mendes on Dec. 22 , 1988 , shortly after dark outside his home in this remote Amazon town near Bolivia 's border , 2 , 650 miles northwest of Rio de Janeiro .",Explanation: Darci Alves Pereira admitted to shooting Mendes.</s>,"[['Darci Alves Pereira', 'Kill', 'Mendes']]"
"TEXT: Crews finished cutting a line of bare earth around the blaze early today and expected full control Wednesday , said Forest Service spokeswoman Margie Clack.",Explanation: Margie Clack is a spokeswoman for the Forest Service.</s>,"[['Margie Clack.', 'Work_For', 'Forest Service']]"
"TEXT: Pennsylvania Academy of the Fine Arts , Philadelphia : "" Sculptures by Duane Hanson "" -- Seventeen life-size and extraordinarily lifelike polyvinyl people sculptures created by this Minnesota born artist .","Explanation: Duane Hanson is a Minnesota born artist, thus he lives in Minnesota.</s>","[['Duane Hanson', 'Live_In', 'Minnesota']]"
"TEXT: LANCASTER , Ky.",Explanation: LANCASTER is a place located in Ky..</s>,"[['LANCASTER', 'Located_In', 'Ky.']]"
"TEXT: This volume of policy guidance documents , compiled like an encyclopedia and approved by the Chinese Government , expounds the strategy for sustained development in China and will certainly serve as guidance for drawing up long- and medium-range economic and social development plans for China .",Explanation: The Chinese Government is an organization based in China and this volume of policy guidance documents is approved by the Chinese Government.</s>,"[['Chinese Government', 'OrgBased_In', 'China'], ['Chinese Government', 'OrgBased_In', 'China']]"
"TEXT: One year ago : Senate minority leader Bob Dole formally announced his bid for the Republican presidential nomination during a visit to his hometown of Russell , Kan .","Explanation: Bob Dole announced his bid for the Republican presidential nomination during a visit to his hometown of Russell, Kan., thus, he must have lived in Russell, Kan.</s>","[['Bob Dole', 'Live_In', 'Russell , Kan']]"
"TEXT: George Washington ( first President ) : Born Feb. 22 , 1732 , in Westmoreland County .","Explanation: George Washington was born in Westmoreland County, and thus he lived in Westmoreland County.</s>","[['George Washington', 'Live_In', 'Westmoreland County']]"
"TEXT: "" We didn 't get a lot of the test objectives done , "" Col. Harold Richardson of the U.S. Strategic Defense Initiative Office told the U.S. magazine Defense News .",Explanation: Col. Harold Richardson is an employee of the U.S. Strategic Defense Initiative Office.</s>,"[['Harold Richardson', 'Work_For', 'U.S. Strategic Defense Initiative Office']]"
